url,city,state,street-address,zipcode,sqft,price,price/sqft
/realestateandhomes-detail/14-Eldora-St_Boston_MA_02120_M35883-15055,Boston,MA,14 Eldora St,2120,"1,518sqft","$1,050,000 ",$692 
/realestateandhomes-detail/9-Woodman-St-2_Boston_MA_02130_M30924-30457,Boston,MA,9 Woodman St Unit 2,2130,870sqft,"$579,000 ",$666 
/realestateandhomes-detail/611-E-7th-St_Boston_MA_02127_M46805-99426,Boston,MA,611 E 7th St,2127,"2,192sqft","$1,950,000 ",$890 
/realestateandhomes-detail/40-Charles-St_Boston_MA_02114_M99466-90608,Boston,MA,40 Charles St,2114,"4,293sqft","$4,299,000 ","$1,001 "
/realestateandhomes-detail/607-E-7th-St_South-Boston_MA_02127_M40473-65159,Boston,MA,607 E 7th St,2127,"3,074sqft","$2,350,000 ",$764 
/realestateandhomes-detail/437-D-St-Apt-6B_Boston_MA_02210_M42758-91291,Boston,MA,437 D St Apt 6B,2210,"1,497sqft","$1,349,000 ",$901 
/realestateandhomes-detail/1-Dalton-St-Unit-5102_Boston_MA_02115_M99413-37853,Boston,MA,1 Dalton St Unit 5102,2115,"2,945sqft","$9,890,000 ","$3,358 "
/realestateandhomes-detail/One-Nevins-Hill-Way-Unit-507_Boston_MA_02135_M93743-70763,Boston,MA,One Nevins Hill Way Unit 507,2135,854sqft,"$825,000 ",$966 
/realestateandhomes-detail/30-Boynton-St-1_Boston_MA_02130_M47466-57420,Boston,MA,30 Boynton St Unit 1,2130,868sqft,"$569,000 ",$656 
/realestateandhomes-detail/69-Lubec-St-202_Boston_MA_02128_M90776-06321,Boston,MA,69 Lubec St Unit 202,2128,"1,048sqft","$725,000 ",$692 
/realestateandhomes-detail/169-Beacon-St-4B_Boston_MA_02116_M41360-65103,Boston,MA,169 Beacon St Unit B4,2116,552sqft,"$650,000 ","$1,178 "
/realestateandhomes-detail/70-Leo-M-Birmingham-Pkwy-Apt-209_Boston_MA_02135_M94651-80581,Boston,MA,70 Leo M Birmingham Pkwy Apt 209,2135,724sqft,"$725,000 ","$1,001 "
/realestateandhomes-detail/139-Crawford-St_Boston_MA_02121_M36365-75154,Boston,MA,139 Crawford St,2121,"5,451sqft","$2,195,000 ",$403 
/realestateandhomes-detail/151-Tremont-St-LL229_Boston_MA_02111_M33366-67681,Boston,MA,151 Tremont St Unit LL229,2111,"9,999sqft","$73,000 ",$7 
/realestateandhomes-detail/244-Neponset-Ave_Boston_MA_02122_M47415-63359,Boston,MA,244 Neponset Ave,2122,"2,586sqft","$799,000 ",$309 
/realestateandhomes-detail/78-82-Carolina-Ave_Boston_MA_M40272-85817,Boston,MA,78 Carolina Ave,2130,"3,444sqft","$1,499,000 ",$435 
/realestateandhomes-detail/44-Waldemar-Ave_Boston_MA_02128_M35412-15979,Boston,MA,44 Waldemar Ave,2128,"1,590sqft","$739,974 ",$465 
/realestateandhomes-detail/One-Nevins-Hill-Way-Unit-702_Boston_MA_02135_M96437-06294,Boston,MA,One Nevins Hill Way Unit 702,2135,"1,294sqft","$1,500,000 ","$1,159 "
/realestateandhomes-detail/190-190R-Paris-St_Boston_MA_02128_M93814-49744,Boston,MA,190-190R Paris St,2128,"2,100sqft","$1,199,000 ",$571 
/realestateandhomes-detail/747-E-Broadway_Boston_MA_02127_M44141-10672,Boston,MA,747 E Broadway,2127,"2,358sqft","$1,499,900 ",$636 
/realestateandhomes-detail/99-Anderer-Ln-Apt-1_Boston_MA_02132_M42777-80481,Boston,MA,99 Anderer Ln Apt 1,2132,"1,540sqft","$650,000 ",$422 
/realestateandhomes-detail/240-Devonshire-St-Unit-4712_Boston_MA_02110_M90772-11606,Boston,MA,240 Devonshire St Unit 4712,2110,"1,844sqft","$3,500,000 ","$1,898 "
/realestateandhomes-detail/81-Homes-Ave-Apt-2_Boston_MA_02122_M91693-65316,Boston,MA,81 Homes Ave Apt 2,2122,"1,014sqft","$599,000 ",$591 
/realestateandhomes-detail/69-Lubec-St-301_Boston_MA_02128_M94334-94439,Boston,MA,69 Lubec St Unit 301,2128,"1,135sqft","$832,000 ",$733 
/realestateandhomes-detail/39-A-St-Unit-7_Boston_MA_02127_M98968-68719,Boston,MA,39 A St Unit 7,2127,"1,015sqft","$1,014,000 ",$999 
/realestateandhomes-detail/607-611-E-Seventh-St_Boston_MA_02127_M93037-81819,Boston,MA,607-611 E Seventh St,2127,"5,266sqft","$4,300,000 ",$817 
